SimulationTime(us)	ReponseTime(us)	EndToEndDelay(us)
1126845	476	476
1127848	476	476
1128869	462	462
1129904	496	496
1130917	493	493
1131929	492	492
1132939	486	486
1133948	472	472
1134969	463	463
1135973	471	471
1136980	495	495
1137999	501	501
1139010	518	518
1140016	484	484
1141050	489	489
1142055	503	503
1143068	481	481
1144103	481	481
1145126	504	504
1146134	505	505
1147156	485	485
1148204	468	468
1149226	472	472
1150232	480	480
1151250	475	475
1152272	480	480
1153274	495	495
1154275	496	496
1155277	509	509
1156288	515	515
1157327	434	434
1158388	475	475
1159407	497	497
1160427	505	505
1161443	479	479
1162459	492	492
1163473	454	454
1164502	497	497
1165509	501	501
1166539	464	464
1167652	504	504
1168653	506	506
1169718	472	472
1170739	477	477
1171761	479	479
1172778	498	498
1173797	468	468
1174825	489	489
1175837	500	500
1176920	524	524
1177937	493	493
1178948	480	480
1179955	484	484
1180963	493	493
1181975	481	481
1182992	507	507
1184001	505	505
1185008	536	536
1186025	511	511
1187049	487	487
1188071	523	523
1189072	472	472
1190091	487	487
1191100	497	497
1192192	479	479
1193211	489	489
1194215	495	495
1195218	496	496
1196231	483	483
1197334	467	467
1198340	489	489
1199346	486	486
1200356	504	504
1201357	481	481
1202381	483	483
1203395	514	514
1204503	498	498
1205509	548	548
1206518	507	507
1207568	496	496
1208570	482	482
1209585	495	495
1210604	548	548
1211616	501	501
1212620	473	473
1213739	516	516
1214743	518	518
1215751	518	518
1216752	498	498
1217786	494	494
1218816	526	526
1219827	514	514
1220841	466	466
1221843	538	538
1222844	489	489
1223864	512	512
1224885	549	549
1225885	480	480
1226900	529	529
1227951	517	517
1228970	498	498
1230005	485	485
1231016	515	515
1232035	466	466
1233048	511	511
1234063	495	495
1235069	493	493
1236071	484	484
1237076	533	533
1238095	497	497
1239095	475	475
1240100	460	460
1241155	478	478
1242177	501	501
1243180	479	479
1244184	488	488
1245227	489	489
1246266	504	504
1247276	507	507
1248285	510	510
1249301	500	500
1250321	488	488
1251332	488	488
1252350	521	521
1253354	497	497
1254357	573	573
1255390	513	513
1256405	497	497
1257423	499	499
1258434	528	528
1259440	538	538
1260458	476	476
1261461	513	513
1262472	475	475
1263491	461	461
1264499	475	475
1265515	475	475
1266528	495	495
1267529	496	496
1268580	485	485
1269580	473	473
1270649	484	484
1271659	501	501
1272677	516	516
1273693	564	564
1274706	541	541
1275731	508	508
1276744	530	530
1277784	492	492
1278789	501	501
1279801	479	479
1280846	468	468
1281888	492	492
1282897	522	522
1283902	486	486
1284919	495	495
1286035	488	488
